# Ord 1	Ord 2	Hvor ens er de? (tal mellem 0 og 10, gerne med decimaler)
tiger	kat	6
hund	mus	4
bog	papir	4.333333333
bil	fly	8
computer	tastatur	6.333333333
internet	computer	8
læge	sygeplejerske	6
brød	smør	4.666666667
professor	læge	4
student	læge	2.666666667
firma	aktie	3.666666667
klog	dum	4.666666667
penge	mønter	9.333333333
aktie	æg	0
æble	student	0.3333333333
lov	advokat	9
konge	dronning	7.666666667
tennis	fodbold	5.333333333
bold	fjer	3.666666667
vodka	alkohol	9.333333333
vodka	vand	3
film	filmstjerne	7.666666667
film	sofa	5
mor	baby	7
mad	træ	1.666666667
magiker	troldmand	9.333333333
bror	nonne	2
bror	munk	4.666666667
kop	kaffe	7.333333333
kop	kande	7.333333333
kop	kiks	2.333333333
energi	sekretær	2.333333333
strøm	planet	2
planet	sol	7.333333333
planet	stjerne	7
krig	baby	0.3333333333
krig	soldat	8.333333333
fødsel	baby	9.666666667
universitet	student	7
seng	skab	5.333333333
seng	søvn	8
seng	motion	3.666666667
computerspil	computer	9.333333333
sommer	vinter	5
forår	påske	5
mand	kvinde	4.333333333
forsikring	løb	0.6666666667
bad	vand	8
regn	køn	0.6666666667
glas	metal	2.333333333
pop	rock	6.666666667
musik	sang	8
spejder	bål	8.666666667
spejder	badminton	2
sukker	størrelse	1.333333333
sikkerhed	pengeskab	8.666666667
sikkerhed	skov	4
rensdyr	ørken	0.6666666667
regnskov	abe	5
måned	jul	4.333333333
hjul	bil	8
motor	udstødning	5.666666667
camping	telt	9
hotel	fjernsyn	6.666666667
færge	jolle	4.666666667
moral	produktivitet	4.666666667
fred	krig	1.333333333
fred	udvikling	6.333333333
sød	sur	3.333333333
voldelig	krigerisk	8.333333333
ferie	hotel	8
stress	ferie	1.333333333
flaske	øl	5
fest	vand	4.333333333
grill	salat	3.666666667
hospital	læge	9
hospital	liv	7
liv	død	6.666666667
afstand	kilometer	6.666666667
mandag	træt	7
dansker	tysker	2.666666667
dansker	japaner	2.333333333
saltvand	hav	8.333333333
bølger	himmel	4
sol	ild	5
billed	fjernsyn	6.333333333
væg	dør	5
kop	flaske	4.333333333
mad	drikke	7
vand	juice	6.333333333
mælk	morgenmad	7.333333333
videnskab	dum	2
matematik	dansk	4.666666667
idræt	fysik	2.333333333
sol	sky	6.333333333
regnbue	vand	5.666666667
asfalt	bil	4.333333333
penge	bank	8.333333333
penge	velstand	9
smil	trist	3.333333333
strand	skov	6
slave	historie	3
tiger	dyr	7.666666667
tiger	billig	2.666666667
svamp	skov	5
svamp	mad	6
pizza	bøf	6.333333333
burger	mad	7.333333333
burger	sushi	4.333333333
krybdyr	pattedyr	4.666666667
fodbold	basket	8
drikke	mund	7
drikke	øre	2
drikke	bil	2
spise	øre	1.333333333
krone	øre	8
københavn	oslo	6
konge	slave	2.666666667
aktie	telefon	4
tog	bil	3
biskop	præst	7.666666667
pave	hellig	8.666666667
psykologi	sind	8.666666667
psykologi	videnskab	8
psykologi	bevidsthed	8.666666667
frygt	læge	5.333333333
tandlæge	læge	7
bøjle	hoved	4.666666667
fod	hånd	6.333333333
sol	måne	8.333333333
galakse	stjerne	9
våben	skud	8
skudsikker	pistol	4.333333333
politi	forbryder	4.666666667
fængsel	vagt	7.333333333
landskab	sang	2.333333333
nord	syd	7
kina	afrika	4.333333333
skilt	bil	3
skilt	ægteskab	4
grund	plan	3.666666667
indkøb	mad	8.666666667
indkøb	penge	8.333333333
løn	arbejde	6.666666667
løn	måned	5
dag	weekend	6.666666667
start	år	4.333333333
boksning	kampsport	9.333333333
boksning	fodbold	4.666666667
køn	ligestilling	8
køn	dreng	5.333333333
køn	pige	6
køn	smuk	9
land	borger	6.333333333
politi	ret	6.666666667
retten	forbryder	6.666666667
arrest	bilist	3
fodgænger	gå	8.666666667
populær	klog	8
sød	sukker	7
ambassade	diplomat	8.333333333
krokodille	aligator	9.666666667
krokodille	gazelle	4.333333333
løve	krokodille	5.333333333
ulykke	bil	3.666666667
ulykke	lykke	3.333333333
ulykke	uheld	7.666666667
vinder	taber	4.666666667
computer	skærm	5.666666667
mus	fælde	4.333333333
køn	politi	2.333333333
år	mus	1.333333333
hvem	han	2.666666667
hvem	hun	2.666666667
hvem	abe	2.444333333
abe	menneske	4.666666667
abe	løve	4
abe	is	1
is	græs	2.333333333
is	dessert	8.666666667
is	vand	6.333333333
is	skærm	1.666666667
skrue	søm	7
skrue	bor	6.666666667
skrue	klips	5.666666667
hammer	boremaskine	6.666666667
skrue	hammer	3
hammer	sav	5.666666667
hammer	skruetrækker	5
hammer	skærebræt	2
skærebræt	kniv	5.666666667
skærebræt	gryde	1.666666667
mail	brev	8.333333333
mail	hjemmeside	8.666666667
hjemmeside	skærm	5.666666667
hjemmeside	computer	7
løbebånd	håndvægt	7.333333333
limpistol	lim	9
telefon	computer	3.666666667
dankort	penge	9
kontanter	penge	8.666666667
kontanter	dankort	8
indkøb	udgift	7.333333333
el	energi	7.666666667
energi	glæde	8.333333333
glæde	sorg	5.666666667
målebånd	længde	6.333333333
kaffe	te	7.666666667
kaffe	energi	6.666666667
maleri	kunst	9
kunst	skulptur	9
mad	energi	5.333333333
hakkebøf	oksekød	8
papir	træ	8.333333333
ven	person	6
ven	fjende	4.666666667
bord	stol	7.333333333
bord	møbel	8
stol	sofa	7.333333333
seng	luftmadras	5.666666667
film	skuespil	7
brætspil	skak	7.333333333
skak	strategi	8.333333333
komedie	tragedie	6.333333333
militær	soldat	8.333333333
militær	vold	4.666666667
militær	fred	5.666666667
soldat	kaptajn	6.666666667
soldat	sergent	6.666666667
soldat	major	6.666666667
soldat	general	6.333333333
krig	fred	2.666666667
krig	vold	6.333333333
krig	befrielse	5
handske	halstørklæde	6.333333333
sovepose	dyne	6.666666667
sovepose	pude	5.333333333
altan	terrasse	6.333333333
rig	fattig	3.666666667
arbejde	penge	7.666666667
penge	rig	8.666666667
data	viden	7
forsøg	gentagelse	6.333333333
forsøg	videnskab	5.666666667
jakke	frakke	8.666666667
cowboy	indianer	6.333333333
cowboy	hest	4.666666667
telt	hus	5.333333333
hus	lejlighed	6.666666667
facebook	twitter	4.333333333
facebook	instagram	4.666666667
varme	kulde	5
sol	stjerne	9.666666667
sol	planet	8.666666667
planet	jorden	9.666666667
windows	iOS	3.666666667
android	iOS	3.666666667
løfte	kontrakt	5.666666667
kylling	høne	6.333333333
kylling	okse	4.333333333
kylling	gris	4.333333333
høne	okse	4.333333333
høne	gris	4.333333333
okse	gris	4.666666667
gård	hus	6
fodbold	håndbold	7
fodbold	badebold	4.666666667
håndbold	badebold	5.333333333
slips	butterfly	6.666666667
jakkesæt	smoking	8.666666667
fly	skib	6
skib	båd	8.333333333
skib	last	6.333333333
fødselsdag	gaver	7.666666667
fødselsdag	dåb	4
kirke	moske	7
kirke	synagoge	7
blad	avis	6.666666667
sko	støvler	7
salt	peber	5.666666667
uniform	autoritet	7.666666667
ur	tid	8
gulv	loft	4.666666667
gulv	væg	5.666666667
væg	loft	5.666666667
hat	kasket	8.333333333
gryde	pande	6.666666667
kniv	gaffel	6.333333333
ske	kniv	6
ske	gaffel	6
ske	suppe	5.666666667
mælk	fløde	6.333333333
firma	forening	6
bredde	højde	7.666666667
bredde	længde	7.333333333
længde	højde	7.666666667
trekant	firkant	5.666666667
livrem	seler	8.666666667
livrem	bælte	8.666666667
bælte	seler	9